vidID,clip_num,personID,passive_weight,arms_to_upper_body,sink,head_drop,jump,rhythmicity,spread,free_flow,light_weight,up_or_rise,rotation,emotion
003/oq_bufAhyl8.mp4/0386.mp4,0386_0101_0002,1,0,1,1,1,0,1,0,0,0,0,0,sad
003/hHgg9WI8dTk.mp4/0226.mp4,0226_0137_0001,0,0,0,0,0,0,1,0,1,1,1,0,happy
003/WlgxRNCHQzw.mp4/0379.mp4,0379_0237_0002,0,1,0,2,0,0,0,0,0,0,0,0,sad
003/uNT6HrrnqPU.mp4/0483.mp4,0483_0133_0002,1,3,4,1,1,0,0,0,0,0,0,0,sad
003/KVq6If6ozMY.mp4/0301.mp4,0301_0263_0001,0,0,0,1,1,0,1,0,0,3,2,0,happy
003/E7JcKooKVsM.mp4/0417.mp4,0417_0297_0001,0,0,0,1,2,0,0,0,0,0,1,0,sad
003/HymKCzQJbB8.mp4/0805.mp4,0805_0100_0002,1,0,1,0,1,0,1,0,0,0,0,0,sad
003/7YpF6DntOYw.mp4/0039.mp4,0039_0165_0002,0,0,0,1,1,0,0,1,2,0,1,0,other
003/D-BJTU6NxZ8.mp4/0565.mp4,0565_0155_0001,0,0,0,2,1,0,2,0,0,0,0,0,sad
003/_7oWZq_s_Sk.mp4/0034.mp4,0034_0096_0002,1,0,0,0,0,0,3,0,2,0,0,0,other
003/J4bt4y9ShTA.mp4/0187.mp4,0187_0102_0002,0,0,0,2,2,0,0,0,0,0,0,0,sad
003/0f39OWEqJ24.mp4/0826.mp4,0826_0256_0003,0,2,0,2,1,0,1,0,0,1,0,0,sad
003/xp67EC-Hvwk.mp4/0551.mp4,0551_0110_0001,0,0,1,0,3,0,0,0,0,0,0,0,sad
003/4ZpjKfu6Cl8.mp4/0042.mp4,0042_0072_0001,0,0,0,2,1,0,0,0,0,0,1,0,sad
003/sADELCyj10I.mp4/0605.mp4,0605_0253_0001,0,1,0,1,2,0,0,0,0,0,0,0,sad
003/E7JcKooKVsM.mp4/0182.mp4,0182_0203_0002,0,0,0,0,2,0,0,0,1,0,1,0,sad
003/_a9SWtcaNj8.mp4/0965.mp4,0965_0087_0001,0,2,0,1,0,0,0,0,0,0,0,0,neutral
003/IzvOYVMltkI.mp4/0126.mp4,0126_0135_0002,0,0,0,0,1,0,1,0,0,2,1,0,happy
003/tNpZtigMc4g.mp4/0260.mp4,0260_0162_0004,0,2,0,2,1,0,0,0,0,0,0,0,sad
003/J1jDc2rTJlg.mp4/0341.mp4,0341_0113_0004,2,0,0,0,1,0,0,0,0,0,0,0,sad
003/HJzgJ9ZjvJk.mp4/0619.mp4,0619_0158_0002,1,0,0,0,0,0,1,0,0,3,1,0,happy
003/2qQs3Y9OJX0.mp4/0117.mp4,0117_0218_0002,1,0,0,1,1,0,1,0,0,0,1,0,sad
003/P90hF2S1JzA.mp4/0701.mp4,0701_0100_0002,0,0,0,0,1,0,1,0,0,0,1,0,neutral
003/lT1zdTL-3SM.mp4/0174.mp4,0174_0180_0003,1,1,0,1,1,0,0,0,0,0,1,0,sad
003/K_SpqDJnlps.mp4/0520.mp4,0520_0311_0002,1,0,0,0,2,0,0,0,1,2,0,0,sad
003/_mAfwH6i90E.mp4/0457.mp4,0457_0190_0002,1,0,1,0,1,0,2,0,1,1,0,0,neutral
003/4gVsDd8PV9U.mp4/0425.mp4,0425_0151_0001,0,0,0,0,0,0,2,2,0,0,0,0,neutral
003/UIy730JrFIc.mp4/0294.mp4,0294_0129_0004,1,0,0,0,1,0,0,0,0,0,0,0,sad
003/P90hF2S1JzA.mp4/0236.mp4,0236_0119_0003,0,0,0,2,2,0,1,0,0,0,0,0,sad
003/_mAfwH6i90E.mp4/0506.mp4,0506_0223_0003,0,0,0,1,2,0,0,0,0,0,0,0,sad
003/c9pEMjPT16M.mp4/1219.mp4,1219_0135_0001,0,0,0,1,1,0,1,0,0,0,0,0,sad
003/O_NYCUhZ9zw.mp4/0140.mp4,0140_0129_0002,0,0,0,1,1,0,0,0,0,0,0,0,sad
003/C25wkwAMB-w.mp4/0411.mp4,0411_0057_0001,0,1,0,0,1,0,2,0,0,0,0,0,neutral
003/jqZpiHlJUig.mp4/0154.mp4,0154_0068_0002,0,0,0,4,0,0,0,0,0,0,0,0,neutral
003/BY3sZmvUp-0.mp4/0169.mp4,0169_0088_0002,1,0,0,0,3,0,0,0,0,0,0,0,sad
